Date,Actual_Return,HS_VaR_99,HS_ES_99,Param_VaR_99,Param_ES_99,MC_GARCH_VaR_99,MC_GARCH_ES_99
2023-02-22,-0.0018712397818479,-0.016166414620001356,-0.0222328410980498,-0.016138652047377834,-0.018480679455407725,-0.01580259746173882,-0.01844844089281971
2023-02-23,0.006308724458738,-0.016166414620001356,-0.0222328410980498,-0.016132781336911203,-0.01847440959959981,-0.015055328096888115,-0.018360077026473902
2023-02-24,-0.0109813190096761,-0.016166414620001356,-0.0222328410980498,-0.01613346588573123,-0.01847528496699156,-0.016579998934113372,-0.019145164271518262
2023-02-27,0.0033226588765217,-0.016166414620001356,-0.0222328410980498,-0.016188069191201134,-0.018535411422336355,-0.01598928569600123,-0.018413169445575365
2023-02-28,-0.0004656794638575,-0.016166414620001356,-0.0222328410980498,-0.0161586471199201,-0.018504551000023628,-0.017127788218043227,-0.019396733950026123
2023-03-01,-0.0006871883057724,-0.016166414620001356,-0.0222328410980498,-0.016130223780400105,-0.01847385282997736,-0.01521356331011727,-0.017144833977269458
2023-03-02,0.0008815957425282,-0.016166414620001356,-0.0222328410980498,-0.016124893631569166,-0.018465134042876977,-0.014517631629877395,-0.016175824133308182
2023-03-03,0.0140147289112477,-0.016166414620001356,-0.0222328410980498,-0.016092350171405943,-0.018430179460004185,-0.015951089287691237,-0.017242164117822756
2023-03-06,-0.0022300197473618,-0.016166414620001356,-0.0222328410980498,-0.01611273852852928,-0.01845446332198176,-0.016487293227588237,-0.01865881364644897
2023-03-07,-0.0113675473086714,-0.016166414620001356,-0.0222328410980498,-0.016121330137127306,-0.018462504265834036,-0.01745745115203586,-0.018967608976550032
2023-03-08,0.0003215718600639,-0.016166414620001356,-0.0222328410980498,-0.016185095567945673,-0.018530296534689912,-0.017431086970236626,-0.019939835619883467
2023-03-09,-0.0076931505072298,-0.016166414620001356,-0.0222328410980498,-0.016169197366106662,-0.018513471269623504,-0.016526251076920236,-0.018677810315985963
2023-03-10,0.0034290657707736,-0.016166414620001356,-0.0222328410980498,-0.0162066440178482,-0.01855305613863617,-0.01519893374341283,-0.01776717756246763
2023-03-13,0.0018714628912337,-0.016166414620001356,-0.0222328410980498,-0.016201588400316498,-0.018548565368545933,-0.0178273561761058,-0.020267237482577662
2023-03-14,0.0002722659571901,-0.016166414620001356,-0.0222328410980498,-0.016200114927492407,-0.018547259603506602,-0.016889556978516736,-0.019895477096949405
